ml;pH;sec;°C
0.000;8.231;0.0;21.1
0.000;8.215;0.4;21.1
0.000;8.196;0.8;21.1
0.007;8.164;1.9;21.1
0.015;8.137;3.0;21.1
0.022;8.166;4.2;21.1
0.030;8.268;5.3;21.1
0.038;8.261;6.5;21.1
0.045;8.318;7.6;21.1
0.053;8.216;8.7;21.1
0.060;8.044;9.9;21.1
0.068;8.009;11.0;21.1
0.076;8.017;12.2;21.1
0.083;8.030;13.3;21.1
0.091;8.142;14.5;21.1
0.098;8.105;15.6;21.1
0.106;8.024;16.7;21.1
0.114;7.888;17.9;21.1
0.121;7.773;19.0;21.1
0.129;7.738;20.2;21.1
0.137;7.804;21.3;21.1
0.144;7.855;22.4;21.1
0.152;7.834;23.6;21.1
0.159;7.669;24.7;21.1
0.167;7.497;25.9;21.1
0.175;7.454;27.0;21.1
0.182;7.449;28.1;21.1
0.190;7.522;29.3;21.1
0.197;7.496;30.4;21.1
0.205;7.404;31.6;21.1
0.213;7.243;32.7;21.1
0.220;7.185;33.9;21.1
0.228;7.144;35.0;21.1
0.235;7.199;36.1;21.1
0.243;7.265;37.3;21.1
0.251;7.237;38.4;21.1
0.258;7.164;39.6;21.1
0.266;7.086;40.7;21.1
0.274;7.001;41.8;21.1
0.281;6.949;43.0;21.1
0.289;6.984;44.1;21.1
0.296;7.055;45.3;21.1
0.304;7.077;46.4;21.1
0.312;7.049;47.5;21.1
0.319;6.960;48.7;21.1
0.327;6.884;49.8;21.1
0.334;6.791;51.0;21.1
0.342;6.789;52.1;21.1
0.350;6.794;53.3;21.1
0.357;6.872;54.4;21.1
0.365;6.890;55.5;21.1
0.373;6.895;56.7;21.1
0.380;6.868;57.8;21.1
0.388;6.856;59.0;21.1
0.395;6.826;60.1;21.1
0.403;6.732;61.2;21.1
0.411;6.701;62.4;21.1
0.418;6.610;63.5;21.1
0.426;6.566;64.7;21.1
0.433;6.581;65.8;21.1
0.441;6.630;66.9;21.1
0.449;6.650;68.1;21.1
0.456;6.666;69.2;21.1
0.464;6.661;70.4;21.1
0.471;6.668;71.5;21.1
0.479;6.659;72.6;21.1
0.487;6.600;73.8;21.1
0.494;6.571;74.9;21.1
0.502;6.504;76.1;21.1
0.510;6.448;77.2;21.1
0.517;6.390;78.4;21.1
0.525;6.417;79.5;21.1
0.532;6.359;80.6;21.1
0.540;6.335;81.8;21.1
0.548;6.314;82.9;21.1
0.555;6.336;84.1;21.1
0.563;6.357;85.2;21.1
0.570;6.381;86.3;21.1
0.578;6.419;87.5;21.1
0.586;6.421;88.6;21.1
0.593;6.387;89.8;21.1
0.601;6.264;90.9;21.1
0.609;6.207;92.0;21.1
0.616;6.168;93.2;21.1
0.624;6.189;94.3;21.1
0.631;6.170;95.5;21.1
0.639;6.175;96.6;21.1
0.647;6.218;97.8;21.1
0.654;6.230;98.9;21.1
0.662;6.232;100.0;21.1
0.669;6.244;101.2;21.1
0.677;6.234;102.3;21.1
0.685;6.226;103.5;21.1
0.692;6.198;104.6;21.1
0.700;6.164;105.7;21.1
0.707;6.127;106.9;21.1
0.715;6.029;108.0;21.1
0.723;5.996;109.2;21.1
0.730;5.985;110.3;21.1
0.738;6.008;111.4;21.1
0.746;6.017;112.6;21.1
0.753;6.070;113.7;21.1
0.761;6.062;114.9;21.1
0.768;6.040;116.0;21.1
0.776;6.049;117.1;21.1
0.784;6.033;118.3;21.1
0.791;6.009;119.4;21.1
0.799;5.979;120.6;21.1
0.806;5.955;121.7;21.1
0.814;5.914;122.8;21.1
0.822;5.883;124.0;21.1
0.829;5.825;125.1;21.1
0.837;5.814;126.3;21.1
0.844;5.754;127.4;21.1
0.852;5.729;128.6;21.1
0.860;5.729;129.7;21.1
0.867;5.735;130.8;21.1
0.875;5.777;132.0;21.1
0.883;5.787;133.1;21.1
0.890;5.810;134.3;21.1
0.898;5.791;135.4;21.1
0.905;5.755;136.5;21.1
0.913;5.721;137.7;21.1
0.921;5.645;138.8;21.1
0.928;5.626;140.0;21.1
0.936;5.573;141.1;21.1
0.943;5.547;142.2;21.1
0.951;5.529;143.4;21.1
0.959;5.524;144.5;21.1
0.966;5.516;145.7;21.1
0.974;5.513;146.8;21.1
0.981;5.515;147.9;21.1
0.989;5.548;149.1;21.1
0.997;5.527;150.2;21.1
1.004;5.512;151.4;21.1
1.012;5.477;152.5;21.1
1.020;5.423;153.7;21.1
1.027;5.358;154.8;21.1
1.035;5.309;155.9;21.1
1.042;5.269;157.1;21.1
1.050;5.245;158.2;21.1
1.058;5.229;159.4;21.1
1.065;5.209;160.5;21.1
1.073;5.232;161.6;21.1
1.080;5.237;162.8;21.1
1.088;5.218;163.9;21.1
1.096;5.198;165.1;21.1
1.103;5.153;166.2;21.1
1.111;5.051;167.3;21.1
1.118;4.968;168.5;21.1
1.125;5.038;169.4;21.1
1.127;5.034;169.8;21.1
1.127;5.034;169.8;21.1
1.129;5.022;170.2;21.1
1.131;5.009;170.6;21.1
1.133;4.992;171.0;21.1
1.133;4.992;171.0;21.1
1.135;4.977;171.3;21.1
1.137;4.959;171.7;21.1
1.139;4.925;172.1;21.1
1.149;4.687;193.8;21.4
1.159;4.569;205.4;21.4
1.169;4.560;217.0;21.4
1.179;4.477;228.6;21.4
1.189;4.411;240.2;21.4
1.199;4.329;251.8;21.4
1.209;4.211;263.3;21.4
1.219;4.050;274.9;21.4
1.229;4.002;286.5;21.4
1.239;3.993;298.1;21.5
1.249;3.980;309.7;21.5
1.259;3.842;321.3;21.4
1.269;3.787;332.9;21.5
1.279;3.692;344.5;21.5
1.289;3.787;356.1;21.5
1.299;3.719;367.7;21.4
1.309;3.688;379.3;21.5
1.319;3.662;390.9;21.5
1.329;3.630;402.5;21.5
1.339;3.579;414.1;21.5
1.349;3.526;425.7;21.5
1.359;3.414;437.3;21.5
1.359;3.550;437.5;21.5
1.369;3.507;449.1;21.4
1.379;3.497;460.7;21.5
1.389;3.441;472.3;21.5
1.389;3.352;482.4;21.5
