Serial number;Method name;Last modification;Sample ID;Start time;End time;Pattern [ml];Titration duration [s];Start pH;End pH;Start temperature [°C];End temperature [°C];Zero point [pH];Slope [%];EP [ml];EP [pH];TA [mmol/l];Mean value 1 [mmol/l];RSD 1 [%];Name;Recalculation
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Test;01/26/22 10:20:55;01/26/22 10:30:34;50.00000;578.20;8.272;3.457;21.0;21.7;7.16;93.1;1.572;3.495;3.169 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Ref1;01/26/22 10:32:09;01/26/22 10:40:33;50.00000;503.52;8.048;3.475;20.7;20.9;7.16;93.1;1.301;3.495;2.622 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Ref2;01/26/22 10:42:31;01/26/22 10:51:12;50.00000;519.53;8.453;3.451;20.5;20.9;7.16;93.1;1.282;3.495;2.584 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Start1;01/26/22 10:53:45;01/26/22 11:03:16;50.00000;570.01;8.222;3.425;21.0;21.5;7.16;93.1;1.565;3.495;3.154 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Start2;01/26/22 11:05:09;01/26/22 11:15:17;50.00000;607.68;8.207;3.404;21.0;21.7;7.16;93.1;1.540;3.495;3.104 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Axu_C2_P;01/26/22 12:08:15;01/26/22 12:18:23;50.00000;607.52;8.233;3.379;22.6;22.7;7.16;93.1;1.544;3.495;3.112 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Xdi_D1_P;01/26/22 12:21:20;01/26/22 12:31:21;50.00000;600.13;8.857;3.354;22.4;22.4;7.16;93.1;1.564;3.495;3.152 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Pru_D2_P;01/26/22 12:34:15;01/26/22 12:44:15;50.00000;599.82;8.208;3.475;22.4;22.6;7.16;93.1;1.533;3.495;3.090 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Pru_C2_X;01/26/22 12:46:50;01/26/22 12:56:48;50.00000;596.51;8.245;3.275;22.0;22.3;7.16;93.1;1.526;3.495;3.076 ;;;SCP-pHT-A170MF-3M-DIN-N;
10012653;Alkalinity_Gran_0.1N;12/10/19 22:31:24;Pve_D1_X;01/26/22 13:00:25;01/26/22 13:10:48;50.00000;622.50;8.337;3.396;22.6;22.6;7.16;93.1;1.582;3.495;3.189 ;;;SCP-pHT-A170MF-3M-DIN-N;
