date,day,fragment_ID,Species,Category,salinity,position,time_start_L,O2_start_L,temp_start_L,time_end_L,O2_end_L,temp_end_L,notes_L,time_start_D,O2_start_D,temp_start_D,time_end_D,O2_end_D,temp_end_D,notes_D
20220125,1,Mdi_A1_M,Mdi,M,36.1,A2,10:11,6.78,25.7,11:39,7.9,25.9,,12:35,7.45,24.1,14:05,7.23,25.7,
20220125,1,Pru_A2_M,Pru,M,36.1,A3,10:12,6.77,25.8,11:43,7.49,26.2,,12:36,7.2,24.1,14:07,6.66,26,
20220125,1,Pve_B1_M,Pve,M,36.1,B1,10:14,6.75,25.8,11:45,7.46,26.2,,12:38,7.22,24.1,14:09,6.8,26,
20220125,1,Spi_A1_P,Spi,P,36.1,B2,10:16,6.77,25.7,11:47,7.93,26.3,,12:41,7.47,24.1,14:11,7.01,25.9,
20220125,1,Amu_A2_P,Amu,P,36.1,C1,10:17,6.77,25.7,11:51,7.94,26.4,,12:43,7.61,24.1,14:13,7.11,26.3,
20220125,1,Mdi_B1_P,Mdi,P,36.1,C2,10:18,6.79,25.6,11:53,7.52,26.4,,12:44,7.29,24.4,14:16,6.91,26.2,
20220125,1,Spi_B2_M,Spi,M,36.1,A5,10:20,6.78,25.6,11:55,7.2,26.2,,12:46,7.07,24.3,14:18,6.78,26.2,
20220125,1,Amu_C1_M,Amu,M,36.1,A6,10:21,6.78,25.5,11:57,7.28,26.3,,12:48,7.08,24.2,14:19,6.83,26.2,
20220125,1,Mdi_C2_M,Mdi,M,36.1,B4,10:23,6.8,25.7,11:59,7.92,26.3,,12:50,7.44,24.1,14:22,6.95,26,
20220125,1,Contr,Con,Con,36.1,B5,10:24,6.78,25.5,12:03,6.91,26.4,,12:52,6.94,24.2,14:24,6.76,26,
20220125,1,Pru_B2_P,Pru,P,36.1,C6,10:25,6.78,25.5,12:06,7.57,26.4,,12:54,7.24,24.2,14:26,6.89,26,
20220125,1,Pve_C1_P,Pve,P,36.1,A8,10:27,6.78,25.6,12:09,8.43,26.1,,12:59,7.81,24.3,14:29,6.9,26.1,
20220125,1,Spi_C2_P,Spi,P,36.1,A9,10:28,6.77,25.7,12:14,8.09,26.2,,13:00,7.62,24.4,14:30,7.01,26.1,
20220125,1,Pru_D1_M,Pru,M,36.1,B7,10:31,6.79,25.6,12:16,7.67,26.4,viel Luft kontakt,13:02,7.27,24.5,14:33,6.57,26,
20220125,1,Pve_D2_M,Pve,M,36.1,B8,10:32,6.73,25.8,12:18,7.49,26.3,Neuer Eimer,13:03,7.21,24.5,14:34,6.79,26,
20220125,1,Amu_D1_P,Amu,P,36.1,B9,10:33,6.71,25.8,12:21,8.08,26.3,Neuer Eimer,13:05,7.6,24.5,14:36,7.13,26,
20220125,1,Mdi_D2_P,Mdi,P,36.1,C7,10:34,6.7,25.7,12:24,7.94,26.5,"Neuer Eimer, Kein Gestell ",13:06,7.56,24.7,14:39,7.12,26.1,Kein Gestell
20220125,1,Contr,Con,Con,36.1,C8,10:35,6.71,25.7,12:26,6.78,26.4,"Neuer Eimer, Kein Gestell, 6.72 O2 start Glas ",13:09,6.84,24.8,14:41,6.67,26,Kein Gestell
20220126,2,Amu_C2_P,Amu,P,36.7,A2,10:09,6.79,25.7,11:39,7.28,25.6,Ab heute Wassserglas im Wasserbad gelagert (zwischen hell und dunkel) ,12:41,7.31,26,14:12,7.06,25.8,
20220126,2,Mdi_D1_P,Mdi,P,36.7,A3,10:10,6.79,25.7,11:42,7.84,25.9,,12:45,8.23,26,14:14,7.62,25.9,
20220126,2,Pru_D2_P,Pru,P,36.7,B1,10:12,6.8,25.6,11:46,7.98,26.1,Algen am Faden ,12:48,8.08,25.9,14:18,7.42,26.1,
20220126,2,Pru_C2_M,Pru,M,36.7,B2,10:13,6.79,25.6,11:49,7.87,26.3,,12:50,7.72,25.9,14:20,6.96,26,
20220126,2,Pve_D1_M,Pve,M,36.7,C1,10:14,6.81,25.5,11:51,7.93,26.4,,12:53,7.64,25.9,14:22,7.11,26.2,
20220126,2,Spi_D2_M,Spi,M,36.7,C2,10:16,6.79,25.6,11:54,8.61,26.4,,12:56,8.12,25.8,14:25,7.35,26.2,Blasé im Glas
20220126,2,Contr,Con,Con,36.7,A5,10:17,6.79,25.6,11:59,6.8,26.2,,13:00,7,25.7,14:30,6.77,26,Kontrolle zu Hoch. Dritte Messung notwendig 
20220126,2,Pru_A1_M,Pru,M,36.7,A6,10:19,6.75,25.7,12:01,7.47,26.2,,13:02,7.3,25.9,14:33,6.75,26,
20220126,2,Pve_A2_M,Pve,M,36.7,B4,10:20,6.77,25.7,12:04,7.47,26.2,,13:04,7.31,25.8,14:36,6.99,26,
20220126,2,Spi_B1_M,Spi,M,36.7,B5,10:23,6.78,25.7,12:07,7.25,26.3,Neues Wasser ,13:06,7.12,25.9,14:38,6.99,26,
20220126,2,Amu_A1_P,Amu,P,36.7,C6,10:24,6.78,25.7,12:10,8.21,26.4,Neues Wasser ,13:09,7.83,25.9,14:40,7.4,26.1,
20220126,2,Mdi_A2_P,Mdi,P,36.7,A8,10:26,6.79,25.7,12:13,7.95,26.2,Neues Wasser ,13:11,7.64,26,14:43,7.1,26,
20220126,2,Pru_B1_P,Pru,P,36.7,A9,10:27,6.79,25.7,12:16,7.54,26.1,Neues Wasser ,13:14,7.37,26,14:45,6.96,26,
20220126,2,Amu_B2_M,Amu,M,36.7,B7,10:27,6.77,25.7,12:19,8.16,26.2,Neues Wasser ,13:17,7.66,25.7,14:47,7.05,26.1,
20220126,2,Mdi_C1_M,Mdi,M,36.7,B8,10:29,6.79,25.6,12:22,7.9,26.2,Neues Wasser ,13:18,7.45,25.8,14:50,6.89,26,
20220126,2,Pve_B2_P,Pve,P,36.7,B9,10:30,6.77,25.7,12:25,8.94,26.2,Neues Wasser ,13:22,8.19,25.7,14:52,7.64,25.9,
20220126,2,Spi_C1_P,Spi,P,36.7,C7,10:31,6.77,25.7,12:28,8.23,26.4,"Neues Wasser, Ohne Gestell",13:24,7.69,25.8,14:56,7,26.2,Ohne Gestell
20220126,2,Contr,Con,Con,36.7,C8,10:32,6.75,25.8,12:32,6.9,26.3,"Neues Wasser, Ohne Gestell, 6.76 O2 im Glas ",13:26,6.84,25.9,14:58,6.76,26.2,Ohne Gestell
20220127,3,Contr,Con,Con,36.8,A2,10:06,6.72,25.8,11:37,6.8,26,,12:47,6.72,26.1,14:18,6.74,25.7,
20220127,3,Amu_C1_P,Amu,P,36.8,A3,10:08,6.72,25.8,11:40,7.63,26,,12:51,7.98,25.9,14:21,7.29,25.9,
20220127,3,Mdi_C2_P,Mdi,P,36.8,B1,10:10,6.71,25.6,11:43,7.42,26.2,,12:55,7.6,26.1,14:24,7.08,26.1,
20220127,3,Pru_D1_P,Pru,P,36.8,B2,10:12,6.71,25.6,11:46,7.85,26,Faden hat Algen,12:56,7.84,26,14:26,7.24,26,Faden hat Algen
