position,Empty,Full,Notes
A5,652.78,1653.8,Weight with magnetic stirrer and plastic holder
A6,655.24,1652.76,
A9,654.97,1657.06,
A8,656.54,1655.42,
B4,654.35,1653.89,
B7,652.18,1646.39,
B8,652.02,1650.98,
B9,652.73,1653.14,
C6,654.4,1653.3,
C7,643.75,1648.46,"measured without plastic holder, also no plastic holder used in experiment here"
C8,643.64,1652.93,"measured without plastic holder, also no plastic holder used in experiment here"
A2,648.66,1646.7,
A3,653.41,1650.48,
B1,651.34,1651.4,
B5,655.47,1654.62,
B2,654.67,1650.82,
C2,655.33,1652.73,
C1,650.98,1648.28,
