fragment_ID;Surface;Volume
Amu_C2_P;1342,04456;1937,943115
Mdi_D1_P;3074,46118;3439,832764
Pru_D2_P;2896,40137;11864,457031
Pru_C2_M;2847,35864;11933,040039
Pve_D1_M;1974,33569;5602,851074
Spi_D2_M;2412,56543;4611,675781
Pru_A1_M;2150,47485;7813,199219
Pve_A2_M;1712,37244;5023,49707
Spi_B1_M;840,782104;1090,173218
Amu_A1_P;3005,32324;5347,503418
Mdi_A2_P;2217,75586;3218,462891
Pru_B1_P;1767,87354;5480,253418
Amu_B2_M;3472,4519;5677,446777
Mdi_C1_M;2274,33008;3311,5271
Pve_B2_P;2452,09937;8185,887207
Spi_C1_P;2628,64771;6266,783203
Amu_C1_P;2837,65747;4912,806152
Mdi_C2_P;2061,39819;3344,127441
Pru_D1_P;2761,24927;11467,124023
Pve_D2_P;1686,77344;4692,075195
Amu_B1_M;3595,62915;6543,396973
Mdi_B2_M;1545,91174;2164,88816
Pru_C1_M;2831,71265;11384,498047
Mdi_A1_P;1743,01697;2670,740723
Pru_A2_P;2839,61572;11829,05957
Pve_B1_P;1873,71912;4907,985352
Pve_A1_M;1646,65112;5047,875977
Spi_A2_M;1727,90857;3446,701172
Spi_B2_P;632,897095;796,641907
Pve_C2_M;1884,8429;5693,739746
Spi_D1_M;2402,49414;4393,300293
Amu_D2_M;3281,23901;5404,204102
Mdi_B1_M;1437,81372;1675,202148
Pru_B2_M;1823,33618;6091,055176
Pve_C1_M;1812,72693;4881,297363
Pru_A1_P;2361,443115;8667,922852
Pve_A2_P;851,540405;1701,903442
Spi_B1_P;1176,911621;1648,576416
Amu_B2_P;2124,812012;3541,89917
Spi_A1_M;2114,143311;4205,987793
Amu_A2_M;3117,127686;4897,504395
Mdi_C1_P;1316,583008;1882,159058
Pru_C2_P;1838,773682;6328,630371
Pve_D1_P;1763,063354;4424,115
Spi_D2_P;2932,074707;5034,470703
Spi_C2_M;1024,193481;1852,692993
Amu_D1_M;2890,733154;5002,606934
Mdi_D2_M;2498,795166;2943,500244
Mdi_D1_M;1923,098145;1976,272583
Pru_D2_M;2437,818848;8546,782227
Pve_A1_P;1450,404663;3777,924561
Spi_A2_P;1524,040283;2611,723389
Amu_B1_P;2378,266357;3668,056152
Mdi_B2_P;2122,696777;2199,817627
Pru_C1_P;2167,427734;7620,044922
Amu_A1_M;3538,381348;5200,683594
Mdi_A2_M;1336,658569;1706,030273
Pru_B1_M;1848,661133;6120,105469
Pve_B2_M;1040,866577;2340,372803
Pve_C2_P;1635,57312;4418,591309
Spi_D1_P;2870,860596;4499,045898
Amu_D2_P;1272,009033;1755,322754
Spi_C1_M;1439,661865;2723,873291
Amu_C2_M;2529,285889;3322,583984
Mdi_A1_M;1919,316162;2683,174805
Pru_A2_M;2085,361328;7307,933594
Pve_B1_M;1163,87561;3000,502197
Spi_A1_P;1395,110474;2375,487549
Amu_A2_P;2351,968018;3185,306152
Mdi_B1_P;1625,280273;1641,755493
Spi_B2_M;684,072388;874,775024
Amu_C1_M;1143,608154;1525,421265
Mdi_C2_M;2133,462158;3642,118164
Pru_B2_P;1935,344116;6533,208984
Pve_C1_P;2367,970703;7195,739746
Spi_C2_P;1781,545654;4090,157227
Pru_D1_M;2883,695313;12106,424805
Pve_D2_M;1211,618042;2460,429688
Amu_D1_P;2602,954346;4825,495117
Mdi_D2_P;1660,695679;1931,024414
