fragment_ID;Species;Category;Date;eluation_ml;resuspention_ml;vol_chamber;vol_five_squares;count_1;count_2;count_3;count_4;count_5;count_6;Notes
Amu_A1_M;Amu;M;04.08.2022;10;8;0.1;0.00125;89;89;74;85;86;62;
Amu_A1_P;Amu;P;03.08.2022;10;8;0.1;0.00125;46;48;44;47;34;42;
Amu_A2_M;Amu;M;04.08.2022;10;8;0.1;0.00125;103;101;84;75;76;87;
Amu_A2_P;Amu;P;03.08.2022;10;8;0.1;0.00125;62;66;62;75;69;55;
Amu_B1_M;Amu;M;04.08.2022;10;8;0.1;0.00125;89;79;94;84;89;85;
Amu_B1_P;Amu;P;04.08.2022;10;8;0.1;0.00125;42;61;49;51;49;62;
Amu_B2_M;Amu;M;04.08.2022;10;8;0.1;0.00125;78;92;84;91;83;93;
Amu_B2_P;Amu;P;03.08.2022;10;8;0.1;0.00125;49;42;48;56;45;31;
Amu_C1_M;Amu;M;04.08.2022;10;8;0.1;0.00125;25;13;19;16;20;14;centrifuge error - lost part of pellet
Amu_C1_P;Amu;P;04.08.2022;10;8;0.1;0.00125;65;81;56;73;91;72;
Amu_C2_M;Amu;M;04.08.2022;10;8;0.1;0.00125;58;54;92;82;56;65;
Amu_C2_P;Amu;P;04.08.2022;10;8;0.1;0.00125;22;25;27;22;25;21;
Amu_D1_M;Amu;M;04.08.2022;10;8;0.1;0.00125;75;93;83;67;80;89;
Amu_D1_P;Amu;P;04.08.2022;10;8;0.1;0.00125;45;54;70;77;64;64;lost some of the end solution
Amu_D2_M;Amu;M;04.08.2022;10;8;0.1;0.00125;86;72;95;89;99;96;
Amu_D2_P;Amu;P;03.08.2022;10;8;0.1;0.00125;26;27;19;24;32;31;
Mdi_A1_M;Mdi;M;03.08.2022;10;8;0.1;0.00125;85;100;67;92;57;99;
Mdi_A1_P;Mdi;P;02.08.2022;10;8;0.1;0.00125;44;34;52;64;47;66;
Mdi_A2_M;Mdi;M;02.08.2022;10;8;0.1;0.00125;51;59;51;63;58;78;
Mdi_A2_P;Mdi;P;02.08.2022;10;8;0.1;0.00125;87;108;114;104;87;88;
Mdi_B1_M;Mdi;M;03.08.2022;10;8;0.1;0.00125;27;35;25;24;37;45;
Mdi_B1_P;Mdi;P;02.08.2022;10;8;0.1;0.00125;12;15;28;15;19;17;
Mdi_B2_M;Mdi;M;02.08.2022;10;8;0.1;0.00125;23;26;32;28;34;28;
Mdi_B2_P;Mdi;P;02.08.2022;10;8;0.1;0.00125;32;40;27;27;27;22;
Mdi_C1_M;Mdi;M;03.08.2022;10;8;0.1;0.00125;53;71;65;52;59;65;
