"","fragment_ID","Species","Category","Date","eluation_ml","resuspention_ml","vol_chamber","vol_five_squares","count_1","count_2","count_3","count_4","count_5","count_6","Notes","mean_cells","surface_cm2","cells_ml","cells_cm2"
"1","Amu_A1_M","Amu","M",2022-08-04,10,8,"0.1","0.00125",89,89,74,85,86,62,NA,80.8333333333333,35.38381348,4041666.66666667,913788.824701134
"2","Amu_A1_P","Amu","P",2022-08-03,10,8,"0.1","0.00125",46,48,44,47,34,42,NA,43.5,30.0532324,2175000,578972.663186806
"3","Amu_A2_M","Amu","M",2022-08-04,10,8,"0.1","0.00125",103,101,84,75,76,87,NA,87.6666666666667,31.17127686,4383333.33333333,1124967.28395703
"4","Amu_A2_P","Amu","P",2022-08-03,10,8,"0.1","0.00125",62,66,62,75,69,55,NA,64.8333333333333,23.51968018,3241666.66666667,1102622.70298156
"5","Amu_B1_M","Amu","M",2022-08-04,10,8,"0.1","0.00125",89,79,94,84,89,85,NA,86.6666666666667,35.9562915,4333333.33333333,964133.541599157
"6","Amu_B1_P","Amu","P",2022-08-04,10,8,"0.1","0.00125",42,61,49,51,49,62,NA,52.3333333333333,23.78266357,2616666.66666667,880192.972150484
"7","Amu_B2_M","Amu","M",2022-08-04,10,8,"0.1","0.00125",78,92,84,91,83,93,NA,86.8333333333333,34.724519,4341666.66666667,1000253.83600946
"8","Amu_B2_P","Amu","P",2022-08-03,10,8,"0.1","0.00125",49,42,48,56,45,31,NA,45.1666666666667,21.24812012,2258333.33333333,850271.297631701
"9","Amu_C1_P","Amu","P",2022-08-04,10,8,"0.1","0.00125",65,81,56,73,91,72,NA,73,28.3765747,3650000,1029017.78346067
"10","Amu_C2_M","Amu","M",2022-08-04,10,8,"0.1","0.00125",58,54,92,82,56,65,NA,67.8333333333333,25.29285889,3391666.66666667,1072766.56432306
"11","Amu_C2_P","Amu","P",2022-08-04,10,8,"0.1","0.00125",22,25,27,22,25,21,NA,23.6666666666667,13.4204456,1183333.33333333,705391.381838072
"12","Amu_D1_M","Amu","M",2022-08-04,10,8,"0.1","0.00125",75,93,83,67,80,89,NA,81.1666666666667,28.90733154,4058333.33333333,1123129.14880232
"13","Amu_D1_P","Amu","P",2022-08-04,10,8,"0.1","0.00125",45,54,70,77,64,64,"lost some of the end solution",62.3333333333333,26.02954346,3116666.66666667,957885.92572316
"14","Amu_D2_M","Amu","M",2022-08-04,10,8,"0.1","0.00125",86,72,95,89,99,96,NA,89.5,32.8123901,4475000,1091051.27334202
"15","Amu_D2_P","Amu","P",2022-08-03,10,8,"0.1","0.00125",26,27,19,24,32,31,NA,26.5,12.72009033,1325000,833327.415529446
"16","Mdi_A1_M","Mdi","M",2022-08-03,10,8,"0.1","0.00125",85,100,67,92,57,99,NA,83.3333333333333,19.19316162,4166666.66666667,1736729.67452109
"17","Mdi_A1_P","Mdi","P",2022-08-02,10,8,"0.1","0.00125",44,34,52,64,47,66,NA,51.1666666666667,17.4301697,2558333.33333333,1174209.26008923
"18","Mdi_A2_M","Mdi","M",2022-08-02,10,8,"0.1","0.00125",51,59,51,63,58,78,NA,60,13.36658569,3e+06,1795522.09940608
"19","Mdi_A2_P","Mdi","P",2022-08-02,10,8,"0.1","0.00125",87,108,114,104,87,88,NA,98,22.1775586,4900000,1767552.53844758
"20","Mdi_B1_M","Mdi","M",2022-08-03,10,8,"0.1","0.00125",27,35,25,24,37,45,NA,32.1666666666667,14.3781372,1608333.33333333,894877.165775457
"21","Mdi_B1_P","Mdi","P",2022-08-02,10,8,"0.1","0.00125",12,15,28,15,19,17,NA,17.6666666666667,16.25280273,883333.333333333,434796.802992186
"22","Mdi_B2_M","Mdi","M",2022-08-02,10,8,"0.1","0.00125",23,26,32,28,34,28,NA,28.5,15.4591174,1425000,737428.903929535
"23","Mdi_B2_P","Mdi","P",2022-08-02,10,8,"0.1","0.00125",32,40,27,27,27,22,NA,29.1666666666667,21.22696777,1458333.33333333,549615.319205182
"24","Mdi_C1_M","Mdi","M",2022-08-03,10,8,"0.1","0.00125",53,71,65,52,59,65,NA,60.8333333333333,22.7433008,3041666.66666667,1069912.12697382
"25","Mdi_C1_P","Mdi","P",2022-08-02,10,8,"0.1","0.00125",26,25,32,28,32,25,NA,28,13.16583008,1400000,850686.962534458
"26","Mdi_C2_M","Mdi","M",2022-08-03,10,8,"0.1","0.00125",56,66,63,59,63,62,"lost some of the end solution",61.5,21.33462158,3075000,1153055.37094978
"27","Mdi_C2_P","Mdi","P",2022-08-02,10,8,"0.1","0.00125",19,29,29,30,15,33,NA,25.8333333333333,20.6139819,1291666.66666667,501277.889126959
"28","Mdi_D1_M","Mdi","M",2022-08-03,10,8,"0.1","0.00125",54,67,72,80,63,81,NA,69.5,19.23098145,3475000,1445584.0474018
"29","Mdi_D1_P","Mdi","P",2022-08-02,10,8,"0.1","0.00125",74,73,59,68,71,82,NA,71.1666666666667,30.7446118,3558333.33333333,925907.500535319
"30","Mdi_D2_M","Mdi","M",2022-08-03,10,8,"0.1","0.00125",96,130,113,108,112,126,NA,114.166666666667,24.98795166,5708333.33333333,1827547.42317549
"31","Mdi_D2_P","Mdi","P",2022-08-02,10,8,"0.1","0.00125",33,48,50,36,48,42,NA,42.8333333333333,16.60695679,2141666.66666667,1031696.14698163
"32","Pru_A1_M","Pru","M",2022-08-04,10,8,"0.1","0.00125",41,63,65,40,51,48,NA,51.3333333333333,21.5047485,2566666.66666667,954827.875961132
"33","Pru_A1_P","Pru","P",2022-08-04,10,8,"0.1","0.00125",48,53,53,62,62,70,NA,58,23.61443115,2900000,982450.089635125
"34","Pru_A2_P","Pru","P",2022-08-03,10,8,"0.1","0.00125",65,39,78,80,81,76,NA,69.8333333333333,28.3961572,3491666.66666667,983701.179585431
"35","Pru_B1_M","Pru","M",2022-08-04,10,8,"0.1","0.00125",47,55,48,60,50,65,NA,54.1666666666667,18.48661133,2708333.33333333,1172019.37553077
"36","Pru_B1_P","Pru","P",2022-08-04,10,8,"0.1","0.00125",18,28,30,25,16,38,NA,25.8333333333333,17.6787354,1291666.66666667,584506.363126705
"37","Pru_B2_P","Pru","P",2022-08-04,10,8,"0.1","0.00125",44,54,58,55,57,68,NA,56,19.35344116,2800000,1157416.90662727
