"","Filename","date","Sample_ID","day","fragment_ID","Species","Category","Sal","position","time","notes","TA_mmolL"
"1","Alkalinity_Gran_0_1N_25_01_22_10_09_16",2022-01-25,"Test",1,"Test","Test",NA,36.1,NA,10:10:00,NA,2.26202602046322
"2","Alkalinity_Gran_0_1N_25_01_22_10_19_44",2022-01-25,"Ref1",1,"Reference1","Ref",NA,36.1,NA,10:19:00,NA,2.08270078997684
"3","Alkalinity_Gran_0_1N_25_01_22_10_29_57",2022-01-25,"Ref2",1,"Reference2","Ref",NA,36.1,NA,10:30:00,NA,2.09623533173204
"4","Alkalinity_Gran_0_1N_25_01_22_10_39_40",2022-01-25,"Start1",1,"Start1","Start",NA,36.1,NA,10:39:00,NA,2.27861199291276
"5","Alkalinity_Gran_0_1N_25_01_22_10_49_48",2022-01-25,"Start2",1,"Start2","Start",NA,36.1,NA,10:49:00,"Water drop on scale",2.27456141773134
"6","Alkalinity_Gran_0_1N_25_01_22_12_48_32",2022-01-25,"Xdi_A1_X",1,"Mdi_A1_M","Mdi","M",36.1,"A2",12:48:00,"M from Mono is X",2.25794778617355
"7","Alkalinity_Gran_0_1N_25_01_22_13_01_49",2022-01-25,"Pru_A2_X",1,"Pru_A2_M","Pru","M",36.1,"A3",13:01:00,NA,2.27822758767996
"8","Alkalinity_Gran_0_1N_25_01_22_13_14_21",2022-01-25,"Pve_B1_X",1,"Pve_B1_M","Pve","M",36.1,"B1",13:14:00,NA,2.26716487608272
"9","Alkalinity_Gran_0_1N_25_01_22_13_27_31",2022-01-25,"Spi_A1_P",1,"Spi_A1_P","Spi","P",36.1,"B2",13:25:00,NA,2.32750566147116
"10","Alkalinity_Gran_0_1N_25_01_22_13_37_44",2022-01-25,"Axu_A2_P",1,"Amu_A2_P","Amu","P",36.1,"C1",13:37:00,NA,2.27600631495752
"11","Alkalinity_Gran_0_1N_25_01_22_13_47_37",2022-01-25,"Xdi_B1_P",1,"Mdi_B1_P","Mdi","P",36.1,"C2",13:47:00,NA,2.27739987537218
"12","Alkalinity_Gran_0_1N_25_01_22_13_57_47",2022-01-25,"Spi_B2_X",1,"Spi_B2_M","Spi","M",36.1,"A5",13:57:00,NA,2.2773383009499
"13","Alkalinity_Gran_0_1N_25_01_22_14_07_41",2022-01-25,"Axu_C1_X",1,"Amu_C1_M","Amu","M",36.1,"A6",14:07:00,NA,2.27985811889393
"14","Alkalinity_Gran_0_1N_25_01_22_14_18_36",2022-01-25,"Xdi_C2_X",1,"Mdi_C2_M","Mdi","M",36.1,"B4",14:18:00,NA,2.23611281099625
"15","Alkalinity_Gran_0_1N_25_01_22_14_30_12",2022-01-25,"ContrA",1,"Contr","Con","Con",36.1,"B5",14:30:00,NA,2.28382391681689
"16","Alkalinity_Gran_0_1N_25_01_22_14_40_55",2022-01-25,"Pru_B2_P",1,"Pru_B2_P","Pru","P",36.1,"C6",14:41:00,NA,2.26071699218062
"17","Alkalinity_Gran_0_1N_25_01_22_14_52_05",2022-01-25,"Pve_C1_P",1,"Pve_C1_P","Pve","P",36.1,"A8",14:52:00,NA,2.25670734292102
"18","Alkalinity_Gran_0_1N_25_01_22_15_03_24",2022-01-25,"Spi_C2_P",1,"Spi_C2_P","Spi","P",36.1,"A9",15:03:00,NA,2.25174863757801
"19","Alkalinity_Gran_0_1N_25_01_22_15_14_43",2022-01-25,"Pru_D1_X",1,"Pru_D1_M","Pru","M",36.1,"B7",15:14:00,NA,2.27030855017057
"20","Alkalinity_Gran_0_1N_25_01_22_15_26_03",2022-01-25,"Pve_D2_X",1,"Pve_D2_M","Pve","M",36.1,"B8",15:25:00,NA,2.27400761699087
"21","Alkalinity_Gran_0_1N_25_01_22_15_36_58",2022-01-25,"Axu_D1_P",1,"Amu_D1_P","Amu","P",36.1,"B9",15:37:00,NA,2.28385701800397
"22","Alkalinity_Gran_0_1N_25_01_22_15_48_16",2022-01-25,"Xdi_D2_P",1,"Mdi_D2_P","Mdi","P",36.1,"C7",15:48:00,NA,2.26906739914262
