"","fragment_ID","jar_nr","run","date","position","cond_organism","incubation","genus","species","colony","col_frag","time_start_L","oxygen_start_L","temp_start_L","saturation_start_L","time_stop_L","oxygen_stop_L","temp_stop_L","saturation_stop_L","salinity_cond_L","temp_cond_L","time_start_D","oxygen_start_D","temp_start_D","saturation_start_D","time_stop_D","oxygen_stop_D","temp_stop_D","saturation_stop_D","light_intensity_L","salinity_cond_D","temp_cond_D","flow_velocity","time_L_min","time_D_min","oxy_L_diff","oxy_D_diff","vol_jar_L","base_O2produced_ug_min","base_O2produced_ug_h","base_O2respiration_ug_min","base_O2respiration_ug_h","mean(base_O2produced_ug_h)","mean(base_O2respiration_ug_h)","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","surface_cm2","net_photo_ug_h_cm2","respiration_ug_h_cm2","gross_photo_ug_h_cm2"
"29","Pru-A-1","4","3",2021-03-21,"A12","Xsp","off-species","soft coral","Pru","A","1",12H 17M 0S,7.06,25.7,106.5,13H 47M 0S,7.57,25.6,114.6,34.3,23.3,14H 18M 0S,6.52,25.7,98.7,15H 48M 0S,6.19,25.3,93.3,198,34.3,23.3,7.370305346,90,90,510.000000000001,329.999999999999,1.0268,5.81853333333334,349.112,3.76493333333332,225.895999999999,20.4013999999999,6.79793333333319,328.710600000001,219.098066666666,547.808666666667,84.4071582,3.89434506515587,2.59572850619518,6.49007357135105
"30","Pru-A-1","8","10",2021-03-30,"B9","Mdi","off-species","stony coral","Pru","A","1",12H 26M 0S,6.71,25.3,99.7,13H 56M 0S,7.41,25.4,110.5,23.4,23.2,14H 27M 0S,6.63,25.4,98.9,15H 59M 0S,6.32,25.4,94,202,34.4,23.3,6.579251631,90,92,700,310,1.02544,7.97564444444445,478.538666666667,3.45528695652174,207.317217391304,10.2013000000001,26.6143043478261,468.337366666667,180.702913043478,649.040279710145,84.4071582,5.54855034399993,2.14084820407421,7.68939854807415
"31","Pru-A-1","7","6",2021-03-25,"B7","Hcn","off-species","sponge","Pru","A","1",12H 30M 0S,6.55,25.7,99,14H 2M 0S,7.3,26,111.2,34.2,23.5,14H 31M 0S,6.61,25.3,99.4,16H 3M 0S,6.26,25.6,94.6,199,34.4,23.6,6.989082655,92,92,750,350.000000000001,1.023,8.33967391304348,500.380434782609,3.89184782608696,233.510869565218,19.961804347826,6.6886658485275,480.418630434783,226.82220371669,707.240834151473,84.4071582,5.69168114031806,2.68723895643119,8.37892009674925
"32","Pru-A-1","7","14",2021-04-03,"B7","Csp","off-species","macroalgae","Pru","A","1",12H 21M 0S,6.68,25.5,100.2,13H 51M 0S,7.45,25.3,111.5,34.4,23.3,14H 23M 0S,6.49,25.4,97.6,15H 53M 0S,6.21,25.4,93.3,199,34.2,23.3,6.989082655,90,90,770,280,1.023,8.75233333333334,525.14,3.18266666666667,190.96,34.0068666666668,6.80073333333319,491.133133333333,184.159266666667,675.2924,84.4071582,5.81861946079987,2.18179678825708,8.00041624905695
"33","Pru-A-1","4","12",2021-04-01,"A12","Ssp","off-species","soft coral","Pru","A","1",12H 14M 0S,6.63,25.8,100.3,13H 45M 0S,7.42,25.6,112.5,34.6,23.3,14H 14M 0S,6.53,25.7,98.9,15H 45M 0S,6.2,25.4,93.4,198,34.4,23.5,7.370305346,91,91,790,330,1.0268,8.91397802197802,534.838681318681,3.72356043956044,223.413626373626,-22.9680399719493,6.65210869565203,557.806721290631,216.761517677974,774.568238968605,84.4071582,6.60852388809165,2.56804662424915,9.1765705123408
"34","Pru-A-1","4","7",2021-03-27,"A12","Pru","within-species","stony coral","Pru","A","1",12H 16M 0S,6.72,25.3,101,13H 46M 0S,7.49,25.5,112.5,34.7,23.1,14H 25M 0S,6.34,27,97.7,15H 45M 0S,5.95,25.3,89.2,198,34.6,23.1,7.370305346,90,80,770,390,1.0268,8.78484444444445,527.090666666667,5.00564999999999,300.339,-13.6038666666664,-14.931073170732,540.694533333333,315.270073170732,855.964606504065,84.4071582,6.40579004036808,3.73511062206015,10.1409006624282
"35","Pru-A-1","8","1",2021-03-19,"B9","Amu","off-species","stony coral","Pru","A","1",12H 17M 0S,6.77,24.7,100.6,13H 48M 0S,7.44,25.8,112.3,34.3,23.6,14H 59M 0S,6.5,25.4,98,16H 29M 0S,6.2,25.5,93.3,202,34.5,23.5,6.579251631,91,90,670.000000000001,300,1.02544,7.54994285714287,452.996571428572,3.41813333333333,205.088,57.1763406593409,36.4522611008327,395.820230769231,168.635738899167,564.455969668398,84.4071582,4.68941543833697,1.99788433226943,6.6872997706064
"36","Pru-A-1","3","13",2021-04-02,"A11","Hsp","off-species","macroalgae","Pru","A","1",12H 15M 0S,6.64,25.4,99.6,13H 46M 0S,7.3,25.6,110,34.3,23,14H 16M 0S,6.57,25.9,99.7,15H 47M 0S,6.23,25.4,93.7,200,34.3,22.9,7.051835362,91,91,660,340,1.02549,7.43761978021978,446.257186813187,3.8315010989011,229.890065934066,25.6724657922723,-6.65289130434769,420.584721020915,236.542957238414,657.127678259328,84.4071582,4.98280868577938,2.80240399372211,7.78521267950149
"37","Pru-A-2","2","11",2021-03-31,"A7","Xsp","off-species","soft coral","Pru","A","2",12H 11M 0S,6.87,25.8,103.3,13H 43M 0S,7.63,25.6,114.8,34.6,23.3,14H 11M 0S,6.55,25.7,98.8,15H 46M 0S,6.22,25.3,93.6,195,34.4,23.5,6.874382174,92,95,760,330,1.02281,8.4493,506.958,3.55291894736842,213.175136842105,-9.97992391304327,32.9899429347828,516.937923913043,180.185193907323,697.123117820366,90.73220703,5.69740272869281,1.98590114586043,7.68330387455324
"38","Pru-A-2","12","2",2021-03-20,"C4","Mdi","off-species","stony coral","Pru","A","2",12H 37M 0S,6.69,25.5,110.2,14H 8M 0S,7.31,25.8,109.7,34.3,23.2,14H 40M 0S,6.65,24.9,98.9,16H 11M 0S,6.28,25.5,94.3,196,34.3,23.2,8.117810474,91,91,619.999999999999,370,1.01679,6.92758021978021,415.654813186813,4.1342010989011,248.052065934066,43.396084687052,26.5777471949509,372.258728499761,221.474318739115,593.733047238876,90.73220703,4.10282898085655,2.44096695086328,6.54379593171983
