"","fragment_ID","position","date","day","Species","Category","salinity","time_start_L","O2_start_L","temp_start_L","time_end_L","O2_end_L","temp_end_L","notes_L","time_start_D","O2_start_D","temp_start_D","time_end_D","O2_end_D","temp_end_D","notes_D","time_L_min","time_D_min","oxy_L_diff","oxy_D_diff","vol_jar_L","base_O2produced_ug_min","base_O2produced_ug_h","base_O2respiration_ug_min","base_O2respiration_ug_h","mean(base_O2produced_ug_h)","mean(base_O2respiration_ug_h)","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","surface_cm2","volume_cm3","net_photo_ug_h_cm2","respiration_ug_h_cm2","gross_photo_ug_h_cm2"
"1","Amu_A1_M","B4",2022-01-31,"5","Amu","M",37,10H 7M 0S,6.6,25.6,11H 50M 0S,8.08,26.2,NA,12H 50M 0S,7.62,25.7,14H 20M 0S,6.96,25.9,NA,103,90,1480,660,0.99954,14.3623223300971,861.739339805826,7.32996,439.7976,71.2196818181816,66.8557949129523,790.519657987644,372.941805087048,1163.46146307469,35.38381348,5.200683594,22.3412792528558,10.5398985696622,32.8811778225181
"2","Amu_A1_P","C6",2022-01-26,"2","Amu","P",36.7,10H 24M 0S,6.78,25.7,12H 10M 0S,8.21,26.4,"Neues Wasser",13H 9M 0S,7.83,25.9,14H 40M 0S,7.4,26.1,NA,106,91,1430,430,0.9989,13.4757264150943,808.543584905661,4.72007692307692,283.204615384615,40.7925514705883,103.074171014493,767.751033435072,180.130444370122,947.881477805195,30.0532324,5.347503418,25.5463712926624,5.9937128217237,31.5400841143861
"3","Amu_A2_M","B4",2022-01-28,"4","Amu","M",36.9,10H 16M 0S,6.7,25.5,11H 55M 0S,8.08,26.3,NA,12H 52M 0S,7.79,25.8,14H 21M 0S,7.16,26,NA,99,89,1380,630,0.99954,13.9329818181818,835.978909090909,7.07539550561798,424.523730337079,64.8344780769233,60.8820000000002,771.144431013986,363.641730337078,1134.78616135106,31.17127686,4.897504395,24.7389426643457,11.6659234708385,36.4048661351842
"4","Amu_A2_P","C1",2022-01-25,"1","Amu","P",36.1,10H 17M 0S,6.77,25.7,11H 51M 0S,7.94,26.4,NA,12H 43M 0S,7.61,24.1,14H 13M 0S,7.11,26.3,NA,94,90,1170,500,0.9973,12.4132021276596,744.792127659575,5.54055555555556,332.433333333333,58.4551302211303,114.595532608696,686.336997438445,217.837800724638,904.174798163082,23.51968018,3.185306152,29.1813915914585,9.26193719716802,38.4433287886265
"5","Amu_B1_M","C2",2022-01-27,"3","Amu","M",36.8,10H 15M 0S,6.72,25.6,11H 53M 0S,8.72,26.3,NA,13H 4M 0S,8.32,25.7,14H 32M 0S,7.5,26.2,NA,98,88,2000,820,0.9974,20.3551020408163,1221.30612244898,9.29395454545455,557.637272727273,56.6006340659341,13.3834945054942,1164.70548838305,544.253778221779,1708.95926660482,35.9562915,6.543396973,32.3922584836939,15.1365381555486,47.5287966392425
"6","Amu_B1_P","C2",2022-01-31,"5","Amu","P",37,10H 0M 0S,6.61,25.6,11H 42M 0S,7.78,26.5,NA,12H 42M 0S,7.65,25.8,14H 12M 0S,7.1,26.1,NA,102,90,1170,550.000000000001,0.9974,11.4407647058824,686.445882352941,6.09522222222223,365.713333333334,71.2196818181816,66.8557949129523,615.22620053476,298.857538420381,914.083738955141,23.78266357,3.668056152,25.8686836621118,12.5661929136216,38.4348765757334
"7","Amu_B2_M","B7",2022-01-26,"2","Amu","M",36.7,10H 27M 0S,6.77,25.7,12H 19M 0S,8.16,26.2,"Neues Wasser",13H 17M 0S,7.66,25.7,14H 47M 0S,7.05,26.1,NA,112,90,1390,610,0.99421,12.33885625,740.331375,6.73853444444445,404.312066666667,40.7925514705883,103.074171014493,699.538823529412,301.237895652174,1000.77671918159,34.724519,5.677446777,20.1453855567996,8.67507756269205,28.8204631194916
"8","Amu_B2_P","A5",2022-01-28,"4","Amu","P",36.9,10H 14M 0S,6.71,25.6,11H 48M 0S,7.56,26.2,NA,12H 44M 0S,7.45,25.8,14H 13M 0S,7.04,26.1,NA,94,89,850,410,1.00102,9.05177659574468,543.106595744681,4.6114404494382,276.686426966292,64.8344780769233,60.8820000000002,478.272117667757,215.804426966292,694.076544634049,21.24812012,3.54189917,22.5089144341564,10.1564009308835,32.6653153650399
"9","Amu_C1_M","A6",2022-01-25,"1","Amu","M",36.1,10H 21M 0S,6.78,25.5,11H 57M 0S,7.28,26.3,NA,12H 48M 0S,7.08,24.2,14H 19M 0S,6.83,26.2,NA,96,91,500,250,0.99752,5.19541666666667,311.725,2.74043956043956,164.426373626374,58.4551302211303,114.595532608696,253.26986977887,49.8308410176778,303.100710796548,11.43608154,1.525421265,22.1465603312645,4.35733523264804,26.5038955639125
"10","Amu_C1_P","A3",2022-01-27,"3","Amu","P",36.8,10H 8M 0S,6.72,25.8,11H 40M 0S,7.63,26,NA,12H 51M 0S,7.98,25.9,14H 21M 0S,7.29,25.9,NA,92,90,910,690,0.99707,9.86232282608696,591.739369565217,7.64420333333334,458.6522,56.6006340659341,13.3834945054942,535.138735499283,445.268705494506,980.407440993789,28.3765747,4.912806152,18.8584683372403,15.6914183689163,34.5498867061566
"11","Amu_C2_M","C7",2022-01-31,"5","Amu","M",37,10H 26M 0S,6.54,25.8,12H 12M 0S,7.48,26.5,"neues Wasser; ohne Gestell",13H 11M 0S,6.87,25.9,14H 41M 0S,6.35,26.3,NA,106,90,940,520,1.00471,8.90969245283019,534.581547169812,5.80499111111112,348.299466666667,71.2196818181816,66.8557949129523,463.36186535163,281.443671753715,744.805537105345,25.29285889,3.322583984,18.31986915227,11.1273965895958,29.4472657418659
"12","Amu_C2_P","A2",2022-01-26,"2","Amu","P",36.7,10H 9M 0S,6.79,25.7,11H 39M 0S,7.28,25.6,"Ab heute Wassserglas im Wasserbad gelagert (zwischen hell und dunkel)",12H 41M 0S,7.31,26,14H 12M 0S,7.06,25.8,NA,90,91,490,250,0.99804,5.43377333333334,326.0264,2.74186813186813,164.512087912088,40.7925514705883,103.074171014493,285.233848529412,61.437916897595,346.671765427007,13.4204456,1.937943115,21.2536794254739,4.57793420045568,25.8316136259296
"13","Amu_D1_M","B9",2022-01-28,"4","Amu","M",36.9,10H 32M 0S,6.68,25.7,12H 16M 0S,8.03,26.1,"neues Wasser, Algen am Faden",13H 9M 0S,7.45,25.8,14H 38M 0S,6.87,26,"Algen am Faden",104,89,1350,580,1.00041,12.9860913461538,779.16548076923,6.51952584269663,391.171550561798,64.8344780769233,60.8820000000002,714.331002692307,330.289550561798,1044.6205532541,28.90733154,5.002606934,24.7110668691043,11.4258055989971,36.1368724681014
"14","Amu_D1_P","B9",2022-01-25,"1","Amu","P",36.1,10H 33M 0S,6.71,25.8,12H 21M 0S,8.08,26.3,"Neuer Eimer",13H 5M 0S,7.6,24.5,14H 36M 0S,7.13,26,NA,108,91,1370,470,1.00041,12.6903861111111,761.423166666667,5.16695274725274,310.017164835165,58.4551302211303,114.595532608696,702.968036445536,195.421632226469,898.389668672005,26.02954346,4.825495117,27.0065449870759,7.5076857389672,34.5142307260431
"15","Amu_D2_M","C7",2022-01-27,"3","Amu","M",36.8,10H 34M 0S,6.67,25.7,12H 33M 0S,8.11,26.5,"neues Wasser; ohne Gestell",13H 33M 0S,7.41,25.9,15H 2M 0S,6.73,26.2,"neues Wasser; ohne Gestell",119,89,1440,680,1.00471,12.1578352941176,729.470117647059,7.67643595505618,460.586157303371,56.6006340659341,13.3834945054942,672.869483581125,447.202662797876,1120.072146379,32.8123901,5.404204102,20.5065672305635,13.6290791812169,34.1356464117803
