fragment_ID;surface_mm2
Pru-A-1;8440,71582
Pru-C-1;10401,254883
Pru-D-1;6565,858887
Pru-E-1;7650,601563
Spi-A-1;1319,037231
Spi-B-1;1501,351318
Spi-C-1;1403,058716
Spi-D-1;1176,509277
Pve-A-1;3771,626953
Pve-B-1;3536,176514
Pve-C-1;3096,395264
Pve-F-1;2550,249268
Pru-A-2;9073,220703
Pru-C-2;9586,94043
Pru-D-2;4561,700195
Pru-E-2;11042,681641
Spi-A-2;2057,053711
Spi-B-2;1923,969971
Spi-C-2;1628,635925
Spi-D-2;1482,645874
Pve-A-2;3335,739746
Pve-B-2;1942,261719
Pve-C-2;2968,304688
Pve-F-2;3169,138184
contr_A;NA
contr_B;NA
contr_C;NA
