run;date;jar_nr;position;cond_organism;incubation;genus;fragment_ID;species;colony;col_frag;time_start_L;oxygen_start_L;temp_start_L;saturation_start_L;time_stop_L;oxygen_stop_L;temp_stop_L;saturation_stop_L;salinity_cond_L;temp_cond_L;time_start_D;oxygen_start_D;temp_start_D;saturation_start_D;time_stop_D;oxygen_stop_D;temp_stop_D;saturation_stop_D;light_intensity_L;salinity_cond_D;temp_cond_D;flow_velocity
1;19.03.2021;contr_A;A5;Amu;off-species;stony coral;contr_A;con;no;no;11:59;6,89;24,7;102,3;13:30;6,94;25,2;104,1;34,3;23,6;14:42;6,5;25,9;98,5;16:16;6,48;25,3;97,1;202;34,5;23,5;7,36598512
1;19.03.2021;contr_B;C7;Amu;off-species;stony coral;contr_B;con;no;no;12:27;6,71;25,3;100,5;13:58;6,83;25,8;104,6;34,3;23,6;15:09;6,61;24,9;98,2;16:41;6,52;25,5;97,9;201;34,5;23,5;6,996865598
1;19.03.2021;8;B9;Amu;off-species;stony coral;Pru-A-1;Pru;A;1;12:17;6,77;24,7;100,6;13:48;7,44;25,8;112,3;34,3;23,6;14:59;6,5;25,4;98;16:29;6,2;25,5;93,3;202;34,5;23,5;6,579251631
1;19.03.2021;11;B12;Amu;off-species;stony coral;Pru-C-1;Pru;C;1;12:23;6,72;24,9;100,4;13:54;7,28;25,8;110,2;34,3;23,6;15:05;6,59;25,1;98,4;16:35;6,19;25,5;93,1;198;34,5;23,5;6,788963055
1;19.03.2021;2;A7;Amu;off-species;stony coral;Pru-D-1;Pru;D;1;12:03;6,85;24,6;101,7;13:34;7,28;25,8;110,9;34,3;23,6;14:46;6,52;25,8;98,7;16:20;6,22;25,5;93,5;195;34,5;23,5;6,874382174
1;19.03.2021;5;B2;Amu;off-species;stony coral;Pru-E-1;Pru;E;1;12:10;6,79;24,8;100,9;13:40;7,4;25,8;112,2;34,3;23,6;14:53;6,54;25,6;98,7;16:23;6,13;25,5;92,8;197;34,5;23,5;6,897020096
1;19.03.2021;4;A12;Amu;off-species;stony coral;Pve-A-1;Pve;A;1;12:08;6,8;24,7;101,1;13:38;7,26;25,8;109,7;34,3;23,6;14:50;6,53;25,7;98,6;16:22;6,2;25,5;93,3;198;34,5;23,5;7,370305346
1;19.03.2021;10;B11;Amu;off-species;stony coral;Pve-B-1;Pve;B;1;12:21;6,73;24,7;100;13:51;7,11;25,8;107,6;34,3;23,6;15:03;6,55;25,2;98,3;16:33;6,21;25,5;93,7;195;34,5;23,5;7,004665894
1;19.03.2021;1;A6;Amu;off-species;stony coral;Pve-C-1;Pve;C;1;12:01;6,89;24,6;102,1;13:32;7,17;25,7;108,3;34,3;23,6;14:44;6,5;25,9;98,6;16:18;6,3;25,5;95,4;199;34,5;23,5;6,950426225
1;19.03.2021;7;B7;Amu;off-species;stony coral;Pve-F-1;Pve;F;1;12:14;6,78;24,8;100,6;13:45;7,51;25,8;113,5;34,3;23,6;14:57;6,51;25,5;97,7;16:27;6,15;25,5;92,7;199;34,5;23,5;6,989082655
